#,Game_ID,Season,Week,SeasonWeek_ID,gameDate,FavoredTeam_ID,Underdog_ID,Winner_ID,Game_Era,Fav_Implied_Win_P,UndD_Implied_Win_P,American_Odds_Fav,American_Odds_Und,Dec_Odds_Fav,Dec_Odds_UndD
607,13285,57,4,57.4,10/2/22,DAL,WAS,DAL,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
608,13286,57,4,57.4,10/2/22,DET,SEA,SEA,12,0.77,0.23,-334.782608695652,334.782608695652,1.3,4.35
609,13287,57,4,57.4,10/2/22,GB,NE,GB,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
610,13288,57,4,57.4,10/2/22,LAC,HOU,LAC,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
611,13289,57,4,57.4,10/2/22,IND,TEN,TEN,12,0.56,0.44,-127.272727272727,127.272727272727,1.79,2.27
612,13290,57,4,57.4,10/2/22,LVR,DEN,LVR,12,0.62,0.38,-163.157894736842,163.157894736842,1.61,2.63
613,13291,57,4,57.4,10/2/22,MIN,NO,MIN,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
614,13292,57,4,57.4,10/2/22,NYG,CHI,NYG,12,0.68,0.32,-212.5,212.5,1.47,3.12
615,13293,57,4,57.4,10/2/22,PHI,JAX,PHI,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
616,13294,57,4,57.4,10/2/22,PIT,NYJ,NYJ,12,0.53,0.47,-112.765957446809,112.765957446809,1.89,2.13
617,13295,57,4,57.4,10/2/22,TB,KC,KC,12,0.53,0.47,-112.765957446809,112.765957446809,1.89,2.13
618,13296,57,4,57.4,10/3/22,SF,LAR,SF,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
619,13297,57,5,57.5,10/6/22,DEN,IND,IND,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
620,13298,57,5,57.5,10/9/22,PHI,AZ,PHI,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
621,13299,57,5,57.5,10/9/22,BAL,CIN,BAL,12,0.92,0.08,-1150.0,1150.0,1.09,12.5
622,13300,57,5,57.5,10/9/22,BUF,PIT,BUF,12,0.68,0.32,-212.5,212.5,1.47,3.12
623,13301,57,5,57.5,10/9/22,SF,CAR,SF,12,0.53,0.47,-112.765957446809,112.765957446809,1.89,2.13
624,13302,57,5,57.5,10/9/22,LAC,CLE,LAC,12,0.77,0.23,-334.782608695652,334.782608695652,1.3,4.35
625,13303,57,5,57.5,10/9/22,GB,NYG,NYG,12,0.71,0.29,-244.827586206897,244.827586206897,1.41,3.45
626,13304,57,5,57.5,10/9/22,JAX,HOU,HOU,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
627,13305,57,5,57.5,10/9/22,LAR,DAL,DAL,12,0.74,0.26,-284.615384615385,284.615384615385,1.35,3.85
628,13306,57,5,57.5,10/9/22,MIN,CHI,MIN,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
629,13307,57,5,57.5,10/9/22,NE,DET,NE,12,0.65,0.35,-185.714285714286,185.714285714286,1.54,2.86
630,13308,57,5,57.5,10/9/22,NO,SEA,NO,12,0.59,0.41,-143.90243902439,143.90243902439,1.69,2.44
631,13309,57,5,57.5,10/9/22,MIA,NYJ,NYJ,12,0.8,0.2,-400.0,400.0,1.25,5
632,13310,57,5,57.5,10/9/22,TB,ATL,TB,12,0.53,0.47,-112.765957446809,112.765957446809,1.89,2.13
633,13311,57,5,57.5,10/9/22,TEN,WAS,TEN,12,0.71,0.29,-244.827586206897,244.827586206897,1.41,3.45
634,13312,57,5,57.5,10/10/22,KC,LVR,KC,12,0.53,0.47,-112.765957446809,112.765957446809,1.89,2.13
635,13313,57,6,57.6,10/13/22,WAS,CHI,WAS,12,0.62,0.38,-163.157894736842,163.157894736842,1.61,2.63
